s/n,subject,level,question,students_response,recipe,suggested_answer,rubrics,error_tags,,,,,,,
371,English Language,Primary 5,"<div class=\""paragraph\"">\n<p class=\""MsoNormal\"" style=\""margin-bottom: 0in; line-height: normal;\""><span lang=\""EN-SG\"" style=\""font-size: 12pt; font-family: Arial, sans-serif; color: #3598db;\"">Write a composition of <u>at least 150 words</u> on <strong style=\""mso-bidi-font-weight: normal;\"">what you can do to make a difference.</strong></span></p>\n</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>", ,"CONTENT – Level 1 – My composition is confusing with largely irrelevant ideas., CONTENT – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., CONTENT – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., CONTENT – Level 4 – My composition is interesting with relevant ideas which are well-developed., CONTENT – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., LANGUAGE AND ORGANISATION – Level 1 – My composition is confusing with largely irrelevant ideas., LANGUAGE AND ORGANISATION – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., LANGUAGE AND ORGANISATION – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., LANGUAGE AND ORGANISATION – Level 4 – My composition is interesting with relevant ideas which are well-developed., LANGUAGE AND ORGANISATION – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., \n",,,,,,,,
372,English Language,Primary 5,"<div class=\""paragraph\"">\n<p class=\""MsoNormal\"" style=\""margin-bottom: 0in; line-height: normal;\""><span lang=\""EN-SG\"" style=\""font-size: 12pt; font-family: Arial, sans-serif; color: #3598db;\"">Write a composition of <u>at least 150 words</u> on <strong style=\""mso-bidi-font-weight: normal;\"">what you can do to make a difference.</strong></span></p>\n</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>", ,"CONTENT – Level 1 – My composition is confusing with largely irrelevant ideas., CONTENT – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., CONTENT – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., CONTENT – Level 4 – My composition is interesting with relevant ideas which are well-developed., CONTENT – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., LANGUAGE AND ORGANISATION – Level 1 – My composition is confusing with largely irrelevant ideas., LANGUAGE AND ORGANISATION – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., LANGUAGE AND ORGANISATION – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., LANGUAGE AND ORGANISATION – Level 4 – My composition is interesting with relevant ideas which are well-developed., LANGUAGE AND ORGANISATION – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., \n",,,,,,,,
373,English Language,Primary 5,"<div class=\""paragraph\"">\n<p class=\""MsoNormal\"" style=\""margin-bottom: 0in; line-height: normal;\""><span lang=\""EN-SG\"" style=\""font-size: 12pt; font-family: Arial, sans-serif; color: #3598db;\"">Write a composition of <u>at least 150 words</u> on <strong style=\""mso-bidi-font-weight: normal;\"">what you can do to make a difference.</strong></span></p>\n</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>", ,"CONTENT – Level 1 – My composition is confusing with largely irrelevant ideas., CONTENT – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., CONTENT – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., CONTENT – Level 4 – My composition is interesting with relevant ideas which are well-developed., CONTENT – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., LANGUAGE AND ORGANISATION – Level 1 – My composition is confusing with largely irrelevant ideas., LANGUAGE AND ORGANISATION – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., LANGUAGE AND ORGANISATION – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., LANGUAGE AND ORGANISATION – Level 4 – My composition is interesting with relevant ideas which are well-developed., LANGUAGE AND ORGANISATION – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., \n",,,,,,,,
374,English Language,Primary 5,"<div class=\""paragraph\"">\n<p class=\""MsoNormal\"" style=\""margin-bottom: 0in; line-height: normal;\""><span lang=\""EN-SG\"" style=\""font-size: 12pt; font-family: Arial, sans-serif; color: #3598db;\"">Write a composition of <u>at least 150 words</u> on <strong style=\""mso-bidi-font-weight: normal;\"">what you can do to make a difference.</strong></span></p>\n</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>", ,"CONTENT – Level 1 – My composition is confusing with largely irrelevant ideas., CONTENT – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., CONTENT – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., CONTENT – Level 4 – My composition is interesting with relevant ideas which are well-developed., CONTENT – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., LANGUAGE AND ORGANISATION – Level 1 – My composition is confusing with largely irrelevant ideas., LANGUAGE AND ORGANISATION – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., LANGUAGE AND ORGANISATION – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., LANGUAGE AND ORGANISATION – Level 4 – My composition is interesting with relevant ideas which are well-developed., LANGUAGE AND ORGANISATION – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., \n",,,,,,,,
375,English Language,Primary 5,"<div class=\""paragraph\"">\n<p class=\""MsoNormal\"" style=\""margin-bottom: 0in; line-height: normal;\""><span lang=\""EN-SG\"" style=\""font-size: 12pt; font-family: Arial, sans-serif; color: #3598db;\"">Write a composition of <u>at least 150 words</u> on <strong style=\""mso-bidi-font-weight: normal;\"">what you can do to make a difference.</strong></span></p>\n</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>", ,"CONTENT – Level 1 – My composition is confusing with largely irrelevant ideas., CONTENT – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., CONTENT – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., CONTENT – Level 4 – My composition is interesting with relevant ideas which are well-developed., CONTENT – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., LANGUAGE AND ORGANISATION – Level 1 – My composition is confusing with largely irrelevant ideas., LANGUAGE AND ORGANISATION – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., LANGUAGE AND ORGANISATION – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., LANGUAGE AND ORGANISATION – Level 4 – My composition is interesting with relevant ideas which are well-developed., LANGUAGE AND ORGANISATION – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., \n",,,,,,,,
376,English Language,Primary 5,"<div class=\""paragraph\"">\n<p class=\""MsoNormal\"" style=\""margin-bottom: 0in; line-height: normal;\""><span lang=\""EN-SG\"" style=\""font-size: 12pt; font-family: Arial, sans-serif; color: #3598db;\"">Write a composition of <u>at least 150 words</u> on <strong style=\""mso-bidi-font-weight: normal;\"">what you can do to make a difference.</strong></span></p>\n</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>", ,"CONTENT – Level 1 – My composition is confusing with largely irrelevant ideas., CONTENT – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., CONTENT – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., CONTENT – Level 4 – My composition is interesting with relevant ideas which are well-developed., CONTENT – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., LANGUAGE AND ORGANISATION – Level 1 – My composition is confusing with largely irrelevant ideas., LANGUAGE AND ORGANISATION – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., LANGUAGE AND ORGANISATION – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., LANGUAGE AND ORGANISATION – Level 4 – My composition is interesting with relevant ideas which are well-developed., LANGUAGE AND ORGANISATION – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., \n",,,,,,,,
377,English Language,Primary 5,"<div class=\""paragraph\"">\n<p class=\""MsoNormal\"" style=\""margin-bottom: 0in; line-height: normal;\""><span lang=\""EN-SG\"" style=\""font-size: 12pt; font-family: Arial, sans-serif; color: #3598db;\"">Write a composition of <u>at least 150 words</u> on <strong style=\""mso-bidi-font-weight: normal;\"">what you can do to make a difference.</strong></span></p>\n</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>", ,"CONTENT – Level 1 – My composition is confusing with largely irrelevant ideas., CONTENT – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., CONTENT – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., CONTENT – Level 4 – My composition is interesting with relevant ideas which are well-developed., CONTENT – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., LANGUAGE AND ORGANISATION – Level 1 – My composition is confusing with largely irrelevant ideas., LANGUAGE AND ORGANISATION – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., LANGUAGE AND ORGANISATION – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., LANGUAGE AND ORGANISATION – Level 4 – My composition is interesting with relevant ideas which are well-developed., LANGUAGE AND ORGANISATION – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., \n",,,,,,,,
378,English Language,Primary 5,"<div class=\""paragraph\"">\n<p class=\""MsoNormal\"" style=\""margin-bottom: 0in; line-height: normal;\""><span lang=\""EN-SG\"" style=\""font-size: 12pt; font-family: Arial, sans-serif; color: #3598db;\"">Write a composition of <u>at least 150 words</u> on <strong style=\""mso-bidi-font-weight: normal;\"">what you can do to make a difference.</strong></span></p>\n</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>", ,"CONTENT – Level 1 – My composition is confusing with largely irrelevant ideas., CONTENT – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., CONTENT – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., CONTENT – Level 4 – My composition is interesting with relevant ideas which are well-developed., CONTENT – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., LANGUAGE AND ORGANISATION – Level 1 – My composition is confusing with largely irrelevant ideas., LANGUAGE AND ORGANISATION – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., LANGUAGE AND ORGANISATION – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., LANGUAGE AND ORGANISATION – Level 4 – My composition is interesting with relevant ideas which are well-developed., LANGUAGE AND ORGANISATION – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., \n",,,,,,,,
379,English Language,Primary 5,"<div class=\""paragraph\"">\n<p class=\""MsoNormal\"" style=\""margin-bottom: 0in; line-height: normal;\""><span lang=\""EN-SG\"" style=\""font-size: 12pt; font-family: Arial, sans-serif; color: #3598db;\"">Write a composition of <u>at least 150 words</u> on <strong style=\""mso-bidi-font-weight: normal;\"">what you can do to make a difference.</strong></span></p>\n</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>", ,"CONTENT – Level 1 – My composition is confusing with largely irrelevant ideas., CONTENT – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., CONTENT – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., CONTENT – Level 4 – My composition is interesting with relevant ideas which are well-developed., CONTENT – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., LANGUAGE AND ORGANISATION – Level 1 – My composition is confusing with largely irrelevant ideas., LANGUAGE AND ORGANISATION – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., LANGUAGE AND ORGANISATION – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., LANGUAGE AND ORGANISATION – Level 4 – My composition is interesting with relevant ideas which are well-developed., LANGUAGE AND ORGANISATION – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., \n",,,,,,,,
380,English Language,Primary 5,"<div class=\""paragraph\"">\n<p class=\""MsoNormal\"" style=\""margin-bottom: 0in; line-height: normal;\""><span lang=\""EN-SG\"" style=\""font-size: 12pt; font-family: Arial, sans-serif; color: #3598db;\"">Write a composition of <u>at least 150 words</u> on <strong style=\""mso-bidi-font-weight: normal;\"">what you can do to make a difference.</strong></span></p>\n</div>.\n",,"<div class=\""paragraph\"">Provide subtle hints or clues without giving direct answers, allowing students to arrive at the correct answer on their own.</div>", ,"CONTENT – Level 1 – My composition is confusing with largely irrelevant ideas., CONTENT – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., CONTENT – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., CONTENT – Level 4 – My composition is interesting with relevant ideas which are well-developed., CONTENT – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., LANGUAGE AND ORGANISATION – Level 1 – My composition is confusing with largely irrelevant ideas., LANGUAGE AND ORGANISATION – Level 2 – My composition is mundane with a few relevant ideas which are mostly undeveloped., LANGUAGE AND ORGANISATION – Level 3 – My composition is fairly interesting with generally relevant ideas which are sufficiently developed., LANGUAGE AND ORGANISATION – Level 4 – My composition is interesting with relevant ideas which are well-developed., LANGUAGE AND ORGANISATION – Level 5 – My composition is highly interesting with fully relevant ideas which are thoroughly developed., \n",,,,,,,,
381,Chinese Language,Primary 5,"<h3 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请写一篇不少过100个字的作文。作文的题目是《发生在上学路上的一件事》。</span></h3>.\n",,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text. Generate in Chinese.</div>", ,"内容 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 内容 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 内容 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 内容 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 内容 – 上 – · 充实 \n· 切合题旨 \n生动, 表达 和 结构 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 表达 和 结构 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 表达 和 结构 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 表达 和 结构 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 表达 和 结构 – 上 – · 充实 \n· 切合题旨 \n生动, \n",,,,,,,,
382,Chinese Language,Primary 5,"<h3 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请写一篇不少过100个字的作文。作文的题目是《发生在上学路上的一件事》。</span></h3>.\n",,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text. Generate in Chinese.</div>", ,"内容 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 内容 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 内容 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 内容 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 内容 – 上 – · 充实 \n· 切合题旨 \n生动, 表达 和 结构 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 表达 和 结构 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 表达 和 结构 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 表达 和 结构 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 表达 和 结构 – 上 – · 充实 \n· 切合题旨 \n生动, \n",,,,,,,,
383,Chinese Language,Primary 5,"<h3 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请写一篇不少过100个字的作文。作文的题目是《发生在上学路上的一件事》。</span></h3>.\n",,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text. Generate in Chinese.</div>", ,"内容 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 内容 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 内容 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 内容 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 内容 – 上 – · 充实 \n· 切合题旨 \n生动, 表达 和 结构 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 表达 和 结构 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 表达 和 结构 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 表达 和 结构 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 表达 和 结构 – 上 – · 充实 \n· 切合题旨 \n生动, \n",,,,,,,,
384,Chinese Language,Primary 5,"<h3 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请写一篇不少过100个字的作文。作文的题目是《发生在上学路上的一件事》。</span></h3>.\n",,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text. Generate in Chinese.</div>", ,"内容 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 内容 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 内容 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 内容 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 内容 – 上 – · 充实 \n· 切合题旨 \n生动, 表达 和 结构 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 表达 和 结构 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 表达 和 结构 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 表达 和 结构 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 表达 和 结构 – 上 – · 充实 \n· 切合题旨 \n生动, \n",,,,,,,,
385,Chinese Language,Primary 5,"<h3 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请写一篇不少过100个字的作文。作文的题目是《发生在上学路上的一件事》。</span></h3>.\n",,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text. Generate in Chinese.</div>", ,"内容 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 内容 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 内容 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 内容 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 内容 – 上 – · 充实 \n· 切合题旨 \n生动, 表达 和 结构 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 表达 和 结构 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 表达 和 结构 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 表达 和 结构 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 表达 和 结构 – 上 – · 充实 \n· 切合题旨 \n生动, \n",,,,,,,,
386,Chinese Language,Primary 5,"<h3 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请写一篇不少过100个字的作文。作文的题目是《发生在上学路上的一件事》。</span></h3>.\n",,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text. Generate in Chinese.</div>", ,"内容 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 内容 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 内容 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 内容 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 内容 – 上 – · 充实 \n· 切合题旨 \n生动, 表达 和 结构 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 表达 和 结构 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 表达 和 结构 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 表达 和 结构 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 表达 和 结构 – 上 – · 充实 \n· 切合题旨 \n生动, \n",,,,,,,,
387,Chinese Language,Primary 5,"<h3 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请写一篇不少过100个字的作文。作文的题目是《发生在上学路上的一件事》。</span></h3>.\n",,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text. Generate in Chinese.</div>", ,"内容 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 内容 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 内容 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 内容 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 内容 – 上 – · 充实 \n· 切合题旨 \n生动, 表达 和 结构 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 表达 和 结构 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 表达 和 结构 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 表达 和 结构 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 表达 和 结构 – 上 – · 充实 \n· 切合题旨 \n生动, \n",,,,,,,,
388,Chinese Language,Primary 5,"<h3 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请写一篇不少过100个字的作文。作文的题目是《发生在上学路上的一件事》。</span></h3>.\n",,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text. Generate in Chinese.</div>", ,"内容 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 内容 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 内容 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 内容 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 内容 – 上 – · 充实 \n· 切合题旨 \n生动, 表达 和 结构 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 表达 和 结构 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 表达 和 结构 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 表达 和 结构 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 表达 和 结构 – 上 – · 充实 \n· 切合题旨 \n生动, \n",,,,,,,,
389,Chinese Language,Primary 5,"<h3 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请写一篇不少过100个字的作文。作文的题目是《发生在上学路上的一件事》。</span></h3>.\n",,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text. Generate in Chinese.</div>", ,"内容 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 内容 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 内容 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 内容 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 内容 – 上 – · 充实 \n· 切合题旨 \n生动, 表达 和 结构 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 表达 和 结构 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 表达 和 结构 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 表达 和 结构 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 表达 和 结构 – 上 – · 充实 \n· 切合题旨 \n生动, \n",,,,,,,,
390,Chinese Language,Primary 5,"<h3 class=\""paragraph\""><span style=\""font-family: STKaiTi, KaiTi, 楷体, 'WenQuanYi Micro Hei', UKai, Arial, serif;\"">请写一篇不少过100个字的作文。作文的题目是《发生在上学路上的一件事》。</span></h3>.\n",,"<div class=\""paragraph\"">Provide specific text replacement for students to improve the text. Generate in Chinese.</div>", ,"内容 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 内容 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 内容 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 内容 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 内容 – 上 – · 充实 \n· 切合题旨 \n生动, 表达 和 结构 – 下 – · 非常不足 \n· 不太切合题旨 \n杂乱, 表达 和 结构 – 中下 – · 不足 \n· 不太切合题旨 \n空洞, 表达 和 结构 – 中 – · 还算充实 \n· 还算切合题旨 \n还算完整, 表达 和 结构 – 中上 – · 相当充实 \n 大部分切合题旨 \n 相当生动, 表达 和 结构 – 上 – · 充实 \n· 切合题旨 \n生动, \n",,,,,,,,
391,Biology,Secondary 3, ,, ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,,,,,,,,
392,Biology,Secondary 3, ,, ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,,,,,,,,
393,Biology,Secondary 3, ,, ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,,,,,,,,
394,Biology,Secondary 3, ,, ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,,,,,,,,
395,Biology,Secondary 3, ,, ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,,,,,,,,
396,Biology,Secondary 3, ,, ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,,,,,,,,
397,Biology,Secondary 3, ,, ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,,,,,,,,
398,Biology,Secondary 3, ,, ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,,,,,,,,
399,Biology,Secondary 3, ,, ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,,,,,,,,
400,Biology,Secondary 3, ,, ,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.",,,,,,,,,
401,Physics,Secondary 4,Explain how the circuit breaker breaks the circuit.,,,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm. (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",,,,,,,,,
